"lam","Fobar","oza","ag","aw"
714,1.39791263157895,0.0187504615384615,0,0.602
715,1.383014375,0.0185469230769231,0,0.602
716,1.38829031578947,0.0183433846153846,0,0.602
717,1.39195916666667,0.0181398461538462,0,0.602
718,1.38237431578947,0.0179363076923077,0,0.602
719,1.36280168421053,0.0177327692307692,0,0.602
720,1.37247431578947,0.0175292307692308,0,0.602
721,1.37052145833333,0.0173256923076923,0,0.602
722,1.37003736842105,0.0171221538461538,0,0.602
723,1.37020684210526,0.0169186153846154,0,0.602
724,1.37192052631579,0.0167150769230769,0,0.602
725,1.36323052631579,0.0165115384615385,0,0.602
726,1.35853052631579,0.016308,0,0.602
727,1.35962105263158,0.0161044615384615,0,0.602
728,1.34298947368421,0.0159009230769231,0,0.602
729,1.32276631578947,0.0156973846153846,0,0.602
730,1.34152947368421,0.0154938461538462,0,0.602
731,1.34487421052632,0.0152903076923077,0,0.602
732,1.34600263157895,0.0150867692307692,0,0.602
733,1.33756308510638,0.0148832307692308,0,0.602
734,1.34909178947368,0.0146796923076923,0,0.602
735,1.33368905263158,0.0144761538461538,0,0.602
736,1.3215,0.0142726153846154,0,0.602
737,1.32266252631579,0.0140690769230769,0,0.602
738,1.31125978723404,0.0138655384615385,0,0.602
739,1.28238526315789,0.013662,0,0.602
740,1.29090063157895,0.0134584615384615,0,0.602
741,1.27785978723404,0.0132549230769231,0,0.602
742,1.28078680851064,0.0130513846153846,0,0.602
743,1.30098263157895,0.0128478461538462,0,0.602
744,1.30205659574468,0.0126443076923077,0,0.602
745,1.30385852631579,0.0124407692307692,0,0.602
746,1.30509404255319,0.0122372307692308,0,0.602
747,1.30619627659574,0.0120336923076923,0,0.602
748,1.30628842105263,0.0118301538461538,0,0.602
749,1.28711510638298,0.0116266153846154,0,0.602
750,1.28456574468085,0.0114230769230769,0,0.602
751,1.27323063829787,0.0112195384615385,0,0.602
752,1.28380255319149,0.011016,0,0.602
753,1.27860765957447,0.0108124615384615,0,0.602
754,1.29032787234043,0.0106089230769231,0,0.602
755,1.28704063829787,0.0104053846153846,0,0.602
